                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6724,                 1.9924,                 1.5779,                0.21504,                0.17201,                0.17144,                0.05725,                 2.0795,                  7.564,                 2.0263,               0.070199,              0.0033113,              0.0033113
                      2,                 1.6601,                 1.7857,                 1.6406,                0.33844,                0.30474,                0.25315,                 0.1035,                 1.9906,                  3.336,                 1.9584,               0.040133,              0.0065788,              0.0065788
                      3,                 1.6319,                 1.6834,                  1.599,                0.40771,                0.45268,                0.38895,                0.17985,                 1.8834,                 2.0681,                 1.7403,               0.010001,              0.0097804,              0.0097804
                      4,                 1.5634,                 1.5446,                 1.5657,                0.40575,                0.47106,                 0.4071,                0.17876,                 1.8399,                 2.2967,                 1.7397,               0.009703,               0.009703,               0.009703
                      5,                 1.5307,                 1.5294,                  1.546,                0.38483,                0.42354,                0.36271,                 0.1545,                 1.9413,                 2.1879,                 1.8428,               0.009604,               0.009604,               0.009604
                      6,                 1.5252,                 1.5105,                 1.5436,                0.50153,                0.50785,                0.48671,                0.22053,                 1.7814,                 1.8576,                 1.7155,               0.009505,               0.009505,               0.009505
                      7,                 1.5043,                 1.4495,                 1.5313,                0.45433,                0.52223,                0.42744,                0.18851,                 1.8122,                  2.049,                 1.7161,               0.009406,               0.009406,               0.009406
                      8,                   1.47,                 1.3898,                 1.4923,                  0.445,                0.48617,                0.42628,                 0.1881,                 1.8306,                 1.9214,                 1.7595,               0.009307,               0.009307,               0.009307
                      9,                 1.4923,                 1.4029,                 1.5307,                0.54509,                0.49832,                0.51936,                0.25518,                 1.6639,                 1.7652,                 1.6305,               0.009208,               0.009208,               0.009208
                     10,                 1.4409,                 1.3606,                 1.4915,                0.44588,                0.54389,                0.44037,                0.18789,                 1.7779,                 1.7495,                 1.6685,               0.009109,               0.009109,               0.009109
